Name,Ratings,Description,Highly Rated for,Critical Rated for,Reviews,Salaries,Interviews,Jobs,Benefits
Alembic Pharmaceuticals,3.9,Pharma | Vadodara +193 other locations,Salary,,4.1k,15.8k,277,59,396
Pidilite Industries,4.2,Chemicals | Mumbai +326 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,4.1k,12.4k,278,15,369
Bank of America,4.1,Banking | Gurugram +43 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,4.1k,30.9k,299,--,423
Aditya Birla Capital,3.8,NBFC | Mumbai +359 other locations,Promotions,,4k,14.7k,279,1,232
American Express,4.1,Financial Services | Gurugram +54 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,4k,26.4k,447,284,468
Kyndryl,3.9,IT Services & Consulting | Bengaluru +44 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions,4k,28.9k,244,776,188
PNB MetLife,3.3,Insurance | New Delhi +444 other locations,"Job Security, Company Culture, Work Satisfaction",,4k,8.4k,203,1,227
KPIT Technologies,2.8,Software Product | Pune +45 other locations,"Promotions, Job Security, Company Culture",,4k,24.7k,361,13,302
Oyo Rooms,3.0,Hospitality | Gurugram +125 other locations,"Job Security, Company Culture, Work Satisfaction",,4k,13.1k,271,176,398
Blinkit,3.8,Internet | Gurugram +180 other locations,"Skill Development, Salary",Promotions,4k,15.3k,420,1,252
Subros,3.8,Auto Components | Noida +91 other locations,"Job Security, Skill Development","Salary, Promotions",4k,12.8k,237,1,404
Escorts Kubota Limited,4.1,Industrial Machinery | Faridabad +165 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,4k,14.2k,323,7,288
ADP Private Limited,3.8,Software Product | Hyderabad +43 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",4k,22.4k,307,19,474
JK Cement,4.0,Building Material | New Delhi +341 other locations,Salary,Promotions,4k,10.3k,365,5,283
Maersk,3.9,Logistics | Chennai +52 other locations,"Company Culture, Work Life Balance","Promotions, Job Security",4k,20.2k,257,77,442
PhonePe,4.0,FinTech | Bengaluru +426 other locations,"Salary, Company Culture, Work Life Balance",,4k,14.9k,462,35,216
Viatris,4.1,Pharma | Hyderabad +82 other locations,"Salary, Work Life Balance, Job Security",,3.9k,14.6k,174,10,514
XpressBees,4.1,Logistics | Pune +484 other locations,"Work Life Balance, Company Culture, Work Satisfaction",,3.9k,8.4k,450,5,164
PVR INOX,3.9,Media & Entertainment | New Delhi +155 other locations,Job Security,Promotions,3.9k,9.7k,228,41,254
Altruist Technologies,4.3,BPO | Bengaluru +43 other locations,"Job Security, Company Culture, Work Life Balance",,3.9k,8.5k,728,4,86
Birlasoft,3.4,IT Services & Consulting | Pune +52 other locations,"Promotions, Salary, Work Satisfaction",,3.9k,29.7k,324,591,259
Synechron,3.4,IT Services & Consulting | Pune +33 other locations,"Job Security, Promotions, Work Satisfaction",,3.9k,29.5k,420,184,266
Glenmark Pharmaceuticals,3.8,Pharma | Mumbai +196 other locations,Promotions,,3.9k,12.5k,201,197,341
Sodexo,4.0,Hospitality | Mumbai +164 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions,3.9k,10.3k,221,1.6k,374
Kotak Mahindra Life Insurance Company,3.4,Insurance | Mumbai +264 other locations,"Work Satisfaction, Promotions, Company Culture",,3.9k,12.8k,271,268,269
