Name,Ratings,Description,Highly Rated for,Critical Rated for,Reviews,Salaries,Interviews,Jobs,Benefits
Digitide Solutions,3.4,IT Services & Consulting | Hyderabad +282 other locations,"Promotions, Salary, Work Satisfaction",,10.8k,27.3k,602,330,789
Yes Bank,3.7,Banking | Mumbai +548 other locations,"Job Security, Promotions, Company Culture",,10.6k,43.3k,585,180,643
Mphasis,3.3,IT Services & Consulting | Bengaluru +68 other locations,"Promotions, Salary, Work Satisfaction",,10.6k,75.6k,960,65,877
Tata Steel,4.0,Iron & Steel | Jamshedpur +235 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,10.3k,34.9k,1.1k,--,695
Quess,3.8,Recruitment | Bengaluru +779 other locations,"Promotions, Job Security",,10.2k,32k,557,17,460
Asian Paints,3.9,Chemicals | Mumbai +569 other locations,"Salary, Skill Development, Job Security",Promotions,10k,26.8k,914,86,940
UltraTech Cement,4.1,Building Material | Mumbai +555 other locations,"Job Security, Skill Development, Company Culture",Promotions,10k,25.1k,855,86,678
Startek,3.0,BPO | Bengaluru +107 other locations,"Promotions, Company Culture, Work Satisfaction",,9.9k,25.1k,686,287,715
Maruti Suzuki,4.1,Automobile | Gurugram +470 other locations,"Job Security, Salary, Company Culture",,9.9k,29.7k,839,672,1k
Bajaj Finance,3.9,NBFC | Pune +1033 other locations,"Salary, Skill Development, Job Security",,9.7k,23.6k,472,9.1k,538
Paytm,3.2,FinTech | Noida +438 other locations,"Job Security, Company Culture, Promotions",,9.7k,35.3k,927,1k,576
Shriram Finance,3.9,NBFC | Chennai +1145 other locations,"Job Security, Work Life Balance",Promotions,9.5k,16.2k,481,6,85
Sutherland Global Services,3.3,BPO | Chennai +89 other locations,"Promotions, Work Satisfaction, Skill Development",,9.5k,36.9k,840,372,945
Coforge,3.3,IT Services & Consulting | Hyderabad +117 other locations,"Promotions, Work Satisfaction, Job Security",,9.3k,69.2k,992,360,446
Equitas Small Finance Bank,4.3,Banking | Chennai +492 other locations,"Company Culture, Work Life Balance, Job Security",,9.2k,14.1k,1k,55,469
Wells Fargo,3.6,Financial Services | Bengaluru +32 other locations,"Promotions, Skill Development, Work Satisfaction",,9.1k,67.2k,718,124,907
Cipla,4.1,Pharma | Mumbai +300 other locations,"Salary, Work Life Balance, Skill Development",,8.9k,26.9k,633,44,903
EXL Service,3.6,Analytics & KPO | Noida +63 other locations,Job Security,"Promotions, Salary, Skill Development",8.9k,45.6k,949,110,830
Ericsson,3.9,Telecom | Noida +169 other locations,"Work Life Balance, Company Culture","Promotions, Salary",8.6k,42.6k,483,34,1k
Samsung,3.9,Consumer Electronics & Appliances | Noida +591 other locations,"Work Life Balance, Salary",Promotions,8.5k,26.6k,647,55,554
Dr. Reddy's,4.0,Pharma | Hyderabad +221 other locations,"Company Culture, Skill Development, Salary","Promotions, Job Security",8.5k,26.6k,547,80,764
JSW Steel,3.9,Iron & Steel | Ballari +203 other locations,"Job Security, Skill Development",Promotions,8.3k,32.8k,896,178,652
Optum Global Solutions,4.0,IT Services & Consulting | Hyderabad +71 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,8.3k,53.2k,801,264,735
Delhivery,3.8,Logistics | Gurugram +786 other locations,Promotions,,8.2k,23.3k,646,409,660
JPMorgan Chase & Co.,3.8,Financial Services | Bengaluru +66 other locations,"Job Security, Salary",Promotions,8.1k,94.3k,903,411,886
Hexaware Technologies,3.4,IT Services & Consulting | Chennai +71 other locations,"Promotions, Salary, Work Satisfaction",,8k,56.9k,864,1.7k,593
ICICI Prudential Life Insurance,3.9,Insurance | Mumbai +518 other locations,"Job Security, Salary, Skill Development",,8k,23k,503,46,635
Ujjivan Small Finance Bank,4.0,Banking | Bengaluru +565 other locations,"Company Culture, Work Life Balance, Skill Development",,8k,13.5k,348,118,591
Jana Small Finance Bank,3.7,Banking | Bengaluru +436 other locations,Salary,"Company Culture, Work Satisfaction, Promotions",7.9k,14.1k,318,92,612
Sun Pharmaceutical Industries,4.0,Pharma | Vadodara +268 other locations,"Salary, Skill Development, Work Life Balance",,7.9k,23.7k,723,350,638
Zydus Lifesciences,4.0,Pharma | Ahmedabad +189 other locations,"Salary, Skill Development, Company Culture",,7.9k,20.6k,584,35,710
Ekart Logistics,3.9,Logistics | Bengaluru +758 other locations,Skill Development,Promotions,7.9k,17.8k,424,--,430
HGS,3.7,Emerging Technologies | Bengaluru +125 other locations,"Promotions, Salary",,7.7k,20.2k,280,34,970
KPMG India,3.4,Management Consulting | Bengaluru +121 other locations,"Promotions, Work Life Balance, Work Satisfaction",,7.7k,72.3k,968,112,783
Lupin,4.1,Pharma | Pune +208 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,7.6k,22.7k,462,69,791
Amazon Development Centre India,3.8,Internet | Hyderabad +148 other locations,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",7.6k,39.5k,917,22,611
Axis Max Life Insurance,4.0,Insurance | New Delhi +527 other locations,"Skill Development, Company Culture, Work Life Balance",,7.6k,21.1k,444,2.3k,559
ITC,3.8,FMCG | Bengaluru +385 other locations,Job Security,Promotions,7.5k,25.8k,729,81,657
Hindustan Unilever,4.1,FMCG | Mumbai +556 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,7.4k,21.2k,491,42,714
L&T Construction,4.0,Engineering & Construction | Chennai +439 other locations,"Job Security, Skill Development, Salary",Promotions,7.4k,19.4k,964,--,923
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad +420 other locations,"Work Life Balance, Job Security",Promotions,7.2k,19.8k,606,58,569
Tata Projects,4.2,Engineering & Construction | Mumbai +292 other locations,"Salary, Company Culture, Work Life Balance",,7.1k,23.1k,653,66,593
Cholamandalam Investment & Finance,3.8,Financial Services | Chennai +885 other locations,Salary,Promotions,7k,13.5k,315,90,319
Bajaj Life Insurance,3.8,Insurance | Pune +629 other locations,Salary,,7k,18.3k,466,104,507
L&T Technology Services,3.1,IT Services & Consulting | Bengaluru +101 other locations,"Promotions, Salary, Work Satisfaction",,6.9k,46.2k,662,1,521
FIS,3.7,FinTech | Pune +63 other locations,Work Life Balance,"Promotions, Job Security, Skill Development",6.8k,38.7k,555,130,747
Oracle,3.3,Software Product | Bengaluru +60 other locations,"Promotions, Salary, Work Satisfaction",,6.7k,65.8k,974,295,659
JLL,4.1,Real Estate | Gurugram +93 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,6.7k,26.4k,514,620,574
Omega Healthcare,3.7,BPO | Chennai +72 other locations,"Promotions, Salary",,6.7k,28.8k,581,209,418
Muthoot Finance,3.7,NBFC | Bengaluru +811 other locations,"Promotions, Work Satisfaction",,6.6k,13.3k,383,167,345
eClerx,3.1,IT Services & Consulting | Pune +34 other locations,"Promotions, Salary, Work Satisfaction",,6.6k,34.1k,662,487,575
IIFL Finance,4.0,NBFC | Mumbai +834 other locations,"Work Life Balance, Company Culture, Job Security",,6.6k,14.1k,345,42,400
Indian Army,4.7,Defence & Aerospace | New Delhi +377 other locations,"Job Security, Company Culture, Work Life Balance",,6.5k,9.5k,216,--,755
DMart,3.9,Retail | Mumbai +260 other locations,"Job Security, Company Culture",Promotions,6.5k,20k,585,290,497
PolicyBazaar,3.7,Internet | Gurugram +165 other locations,Salary,Work Life Balance,6.4k,19.3k,676,1.4k,299
Indiamart Intermesh,3.6,Internet | Noida +168 other locations,"Work Satisfaction, Promotions, Company Culture",,6.4k,21.7k,829,269,528
Piramal Finance,4.2,NBFC | Mumbai +443 other locations,"Company Culture, Work Life Balance, Skill Development",,6.4k,12.9k,310,122,459
Virtusa Consulting Services,3.6,IT Services & Consulting | Hyderabad +56 other locations,"Promotions, Job Security, Salary",,6.4k,58.3k,697,238,343
HSBC Group,3.8,Financial Services | Bengaluru +68 other locations,"Work Life Balance, Job Security","Promotions, Salary",6.3k,46.7k,573,113,1.2k
SMFG India Credit,3.9,NBFC | Mumbai +621 other locations,Salary,Promotions,6.3k,11.4k,225,114,361
Access Healthcare,3.7,BPO | Chennai +63 other locations,"Promotions, Skill Development",,6.2k,30.4k,426,769,395
HCL Group,3.5,IT Services & Consulting | Chennai +103 other locations,"Promotions, Salary, Work Satisfaction",,6.1k,38.8k,529,--,658
BigBasket,3.9,Internet | Bengaluru +150 other locations,Job Security,Promotions,6.1k,20.5k,521,90,407
Manappuram Finance,3.9,NBFC | Bengaluru +678 other locations,"Work Life Balance, Promotions, Skill Development",,6.1k,9.6k,241,7,252
GlobalLogic,3.5,IT Services & Consulting | Hyderabad +64 other locations,"Promotions, Salary, Work Satisfaction",,6k,42.6k,707,48,554
ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +326 other locations,"Promotions, Work Satisfaction, Company Culture",,6k,21k,387,244,402
Siemens,4.0,Industrial Automation | Bengaluru +163 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,6k,35.6k,530,359,648
Firstsource Solutions,3.5,BPO | Bengaluru +74 other locations,"Promotions, Salary, Work Satisfaction",,6k,25.4k,381,78,577
Apollo Hospitals,4.0,Healthcare | Chennai +233 other locations,"Job Security, Skill Development, Company Culture",Promotions,6k,17.4k,517,344,527
Aurobindo Pharma,4.0,Pharma | Hyderabad +119 other locations,"Job Security, Salary, Work Life Balance",Promotions,6k,20.4k,307,22,471
Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +191 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6k,15.6k,457,63,659
Tata Capital,4.0,NBFC | Mumbai +466 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,5.9k,16.7k,305,5.4k,283
Swiggy,3.7,Internet | Bengaluru +246 other locations,"Job Security, Promotions, Work Life Balance",,5.9k,25.5k,617,144,382
UST,3.7,IT Services & Consulting | Bengaluru +54 other locations,Work Life Balance,"Promotions, Salary, Job Security",5.9k,41.6k,620,723,414
Standard Chartered,3.6,Banking | Chennai +72 other locations,"Promotions, Work Satisfaction, Salary",,5.9k,42.7k,337,13,322
Mahindra Finance,3.8,NBFC | Mumbai +760 other locations,Promotions,,5.9k,12.1k,231,162,531
Bosch Global Software Technologies,3.7,IT Services & Consulting | Bengaluru +48 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",5.8k,41.6k,400,41,655
Udaan,3.9,Internet | Bengaluru +374 other locations,Salary,"Job Security, Promotions",5.8k,14.9k,377,4,707
Citicorp,3.6,Financial Services | Pune +74 other locations,Salary,"Promotions, Work Satisfaction, Skill Development",5.7k,55.6k,652,--,537
Ashok Leyland,4.0,Automobile | Chennai +274 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,5.7k,19.1k,338,2,656
Hero MotoCorp,4.1,Automobile | Gurugram +387 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,5.7k,16.9k,440,--,613
CGI Inc,4.0,IT Services & Consulting | Bengaluru +49 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",5.6k,48.3k,584,447,372
Kalpataru Projects International,4.1,Engineering & Construction | Mumbai +341 other locations,"Job Security, Skill Development, Salary",,5.5k,14.6k,355,2,236
NTT DATA,3.8,IT Services & Consulting | Bengaluru +86 other locations,"Work Life Balance, Job Security",Promotions,5.5k,39.9k,788,8,551
SBI Cards & Payment Services,3.6,Financial Services | Gurugram +460 other locations,"Promotions, Work Satisfaction, Company Culture",,5.5k,15.7k,343,120,356
Nagarjuna Construction Company,4.0,Engineering & Construction | Hyderabad +301 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,5.5k,12.7k,473,18,431
IQVIA,3.7,Clinical Research | Bengaluru +68 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",5.5k,32.8k,585,31,560
BNY,3.6,Financial Services | Pune +29 other locations,"Promotions, Job Security, Work Satisfaction",,5.5k,32.7k,408,60,560
Cyient,3.6,IT Services & Consulting | Hyderabad +51 other locations,"Promotions, Salary, Skill Development",,5.5k,27.8k,345,158,452
Schneider Electric,4.1,Industrial Automation | Bengaluru +123 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,5.4k,27k,478,394,462
